Style_id,Yarn_ID,BOM_Percent,unit
15605/01A,,0,lbs
15605/01A,11762,0.27,lbs
15605/01A,11762,0.28,lbs
15605/01A,13650,0.1,lbs
15605/01A,14279,0.29,lbs
15605/01A,14280,0.01,lbs
15605/01A,18062,0.02,lbs
16131/01A,,0,lbs
16131/01A,13259,0.24,lbs
16131/01A,13649,0.14,lbs
16131/01A,14279,0.32,lbs
16131/01A,14280,0.01,lbs
16131/01A,18062,0.02,lbs
1629/0,,0,lbs
1629/0,14214,0.88,lbs
1629/0,14262,0.11,lbs
1629/I,,0,lbs
1629/I,14214,0.88,lbs
1629/I,14502,0.11,lbs
1629/I582L,,0,lbs
1629/I582L,14214,0.88,lbs
1629/I582L,14698,0.11,lbs
1631/L,,0,lbs
1631/L,14308,0.1,lbs
1631/L,14308,0.2,lbs
1631/L,14308,0.27,lbs
1631/L,14314,0.21,lbs
1631/L,14744,0.01,lbs
1631/L,14744,0.02,lbs
1631/L,9945,0.03,lbs
1631/LN,,0,lbs
1631/LN,14308,0.1,lbs
1631/LN,14308,0.2,lbs
1631/LN,14308,0.27,lbs
1631/LN,14314,0.21,lbs
1631/LN,14744,0.01,lbs
1631/LN,14744,0.02,lbs
1631/LN,14821,0.03,lbs
16371/01A,,0,lbs
16371/01A,13527,0.29,lbs
16371/01A,13565,0.15,lbs
16371/01A,14279,0.2,lbs
16371/01A,14280,0.02,lbs
16371/01A,18062,0.03,lbs
16372/01A,,0,lbs
16372/01A,13527,0.3,lbs
16372/01A,13565,0.16,lbs
16372/01A,14279,0.18,lbs
16372/01A,14280,0.02,lbs
16372/01A,18062,0.03,lbs
16373/01A,,0,lbs
16373/01A,13527,0.29,lbs
16373/01A,13527,0.3,lbs
16373/01A,13565,0.16,lbs
16373/01A,14279,0.18,lbs
16373/01A,14280,0.01,lbs
16373/01A,18062,0.02,lbs
16374/01A,,0,lbs
16374/01A,13527,0.27,lbs
16374/01A,13565,0.1,lbs
16374/01A,14279,0.3,lbs
16374/01A,14280,0.01,lbs
16374/01A,18062,0.02,lbs
16375/01A,,0,lbs
16375/01A,13527,0.27,lbs
16375/01A,13565,0.1,lbs
16375/01A,14279,0.29,lbs
16375/01A,14280,0.01,lbs
16375/01A,18062,0.02,lbs
16376/01A,,0,lbs
16376/01A,13527,0.26,lbs
16376/01A,13565,0.1,lbs
16376/01A,14279,0.32,lbs
16376/01A,14280,0.01,lbs
16376/01A,18062,0.02,lbs
16377/01A,,0,lbs
16377/01A,13407,0.11,lbs
16377/01A,13527,0.26,lbs
16377/01A,14279,0.32,lbs
16377/01A,14280,0.01,lbs
16377/01A,18062,0.02,lbs
16378/01A,,0,lbs
16378/01A,13407,0.1,lbs
16378/01A,13527,0.26,lbs
16378/01A,13527,0.27,lbs
16378/01A,14279,0.31,lbs
16378/01A,14280,0.01,lbs
16378/01A,18062,0.02,lbs
16379/01A,,0,lbs
16379/01A,13407,0.11,lbs
16379/01A,13527,0.26,lbs
16379/01A,14279,0.32,lbs
16379/01A,14280,0.01,lbs
16379/01A,18062,0.02,lbs
16436/01A,,0,lbs
16436/01A,13407,0.1,lbs
16436/01A,13527,0.26,lbs
16436/01A,13527,0.27,lbs
16436/01A,14279,0.31,lbs
16436/01A,14280,0.01,lbs
16436/01A,18062,0.02,lbs
16437/01A,,0,lbs
16437/01A,13527,0.26,lbs
16437/01A,13565,0.12,lbs
16437/01A,14279,0.29,lbs
16437/01A,14280,0.02,lbs
16437/01A,18062,0.03,lbs
16438/01A,,0,lbs
16438/01A,13527,0.25,lbs
16438/01A,13565,0.13,lbs
16438/01A,14279,0.32,lbs
16438/01A,14280,0.01,lbs
16438/01A,18062,0.02,lbs
16668/01A,,0,lbs
16668/01A,10024,0.3,lbs
16668/01A,11697,0.01,lbs
16668/01A,11759,0.02,lbs
16668/01A,11762,0.25,lbs
16668/01A,13650,0.13,lbs
16699/01A,,0,lbs
16699/01A,10024,0.29,lbs
16699/01A,11697,0.01,lbs
16699/01A,11759,0.02,lbs
16699/01A,13259,0.26,lbs
16699/01A,13259,0.27,lbs
16699/01A,13649,0.11,lbs
16700/01A,,0,lbs
16700/01A,10024,0.29,lbs
16700/01A,11697,0.01,lbs
16700/01A,11759,0.02,lbs
16700/01A,13259,0.26,lbs
16700/01A,13259,0.27,lbs
16700/01A,13649,0.11,lbs
16701/01A,,0,lbs
16701/01A,10024,0.29,lbs
16701/01A,11697,0.01,lbs
16701/01A,11759,0.02,lbs
16701/01A,13259,0.26,lbs
16701/01A,13259,0.27,lbs
16701/01A,13649,0.11,lbs
16767/01A,,0,lbs
16767/01A,10024,0.3,lbs
16767/01A,11697,0.01,lbs
16767/01A,11759,0.02,lbs
16767/01A,13259,0.25,lbs
16767/01A,13650,0.13,lbs
16768/01A,,0,lbs
16768/01A,10024,0.3,lbs
16768/01A,11697,0.01,lbs
16768/01A,11759,0.02,lbs
16768/01A,11762,0.25,lbs
16768/01A,13650,0.13,lbs
16768/01AD,,0,lbs
16768/01AD,10024,0.3,lbs
16768/01AD,11697,0.01,lbs
16768/01AD,11759,0.02,lbs
16768/01AD,13254,0.25,lbs
16768/01AD,14596,0.13,lbs
16768/01AE,,0,lbs
16768/01AE,10024,0.3,lbs
16768/01AE,11697,0.01,lbs
16768/01AE,11759,0.02,lbs
16768/01AE,13647,0.13,lbs
16768/01AE,14585,0.25,lbs
