Style,Yarn,Percentage,This Week,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Later,Total
C1B4033/1B,18865,7.7,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,77.0
C1B4033/1B,18894,15.9,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,159.0
C1B4038/1C,12526,25.9,0.0,0.0,0.0,0.0,0.0,323.8,0.0,0.0,0.0,0.0,323.8
C1B4038/1C,18376,41,0.0,0.0,0.0,0.0,0.0,512.5,0.0,0.0,0.0,0.0,512.5
C1B4038/1C,18893,16.3,0.0,0.0,0.0,0.0,0.0,203.8,0.0,0.0,0.0,0.0,203.8
C1B4038/1C,18894,16.8,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,210.0
C1B4125A/1B,18233,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,175.5","1,175.5"
C1B4125A/1B,18293,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.5,609.5
C1B4125A/1B,18372,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,901.1","1,901.1"
C1B4125A/1B,18894,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.5,609.5
C1B4125A/1B,19020,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,960.4","2,960.4"
C1B4125A/1DD,18233,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4125A/1DD,18293,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4125A/1DD,18372,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4125A/1DD,18868,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4125A/1DD,18894,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4312A/1RECS,18594,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.8,199.8
C1B4312A/1RECS,18865,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,35.1
C1B4312A/1RECS,18899,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7,58.7
C1B4312A/1RECS,18927,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,227.0
C1B4312A/1RECS,18929,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.3
C1B4312A/1RECS,18961,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.3,77.3
C1B4312A/1RECS,19066,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.8,113.8
C1B4312A/2REC,18594,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.6
