Customer,SO #,Order #,Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Received
CTIC - CREATIVE TICKING,S2507376,D68889,006888912,23.7,48.2,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68888,006888801,23.3,48.0,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888901,23.1,54.8,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888902,23.4,54.1,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888905,23.4,51.1,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888906,23.5,50.6,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888907,23.4,50.4,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888919,29.4,59.0,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888917,23.2,47.9,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888903,23.5,54.2,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888904,23.4,51.8,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888908,25.3,49.2,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68889,006888909,23.4,49.5,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888916,23.3,47.8,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888918,23.3,47.1,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507419,D68888,006888802,23.7,47.7,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888915,23.8,47.8,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888914,23.4,47.0,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888913,23.6,48.6,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68380,006838004,23.1,52.0,0,0,5/30/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888910,23.1,48.2,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507376,D68889,006888911,23.8,49.0,0,0,7/7/2025
CTIC - CREATIVE TICKING,S2507371,D69089,006908914,50.1,59.7,0,0,7/18/2025
CTIC - CREATIVE TICKING,S2507371,D69089,006908913,50.2,60.1,0,0,7/18/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893907,40.0,58.0,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893901,40.0,57.9,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893906,38.0,55.2,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893902,41.2,60.0,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893908,40.0,58.6,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893914,40.2,58.8,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893911,40.0,59.0,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893918,13.5,20.1,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893917,35.5,52.0,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893916,40.3,59.1,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893915,40.4,59.3,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893913,40.0,58.6,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893912,40.0,58.5,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893910,40.1,58.7,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893909,40.1,59.0,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893905,40.0,58.4,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893904,40.0,58.2,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2506316,D68939,006893903,40.5,59.4,0,0,7/21/2025
CTIC - CREATIVE TICKING,S2507420,D67972,006797206,30.2,50.0,0,0,4/23/2025
CTIC - CREATIVE TICKING,S2507420,D69029,006902915,30.7,48.9,0,0,7/17/2025
CTIC - CREATIVE TICKING,S2507420,D67972,006797209,30.0,50.0,0,0,4/23/2025
CTIC - CREATIVE TICKING,S2507420,D67972,006797210,30.6,50.0,0,0,4/23/2025
CTIC - CREATIVE TICKING,S2507420,D67972,006797211,33.8,55.0,0,0,4/23/2025
CTIC - CREATIVE TICKING,S2507420,D67972,006797207,31.5,51.2,0,0,4/23/2025
CTIC - CREATIVE TICKING,S2507420,D67972,006797208,30.8,51.0,0,0,4/23/2025
CTIC - CREATIVE TICKING,S2507420,D69029,006902914,30.7,48.0,0,0,7/17/2025
CTIC - CREATIVE TICKING,S2507420,D69029,006902913,30.0,48.9,0,0,7/17/2025
CTIC - CREATIVE TICKING,S2507377,D69029,006902917,32.0,51.0,0,0,7/17/2025
CTIC - CREATIVE TICKING,S2507377,D69029,006902916,32.0,51.7,0,0,7/17/2025
CTIC - CREATIVE TICKING,S2507377,D69029,006902920,18.0,29.0,0,0,7/17/2025
CTIC - CREATIVE TICKING,S2507377,D69029,006902919,30.5,49.0,0,0,7/17/2025
CTIC - CREATIVE TICKING,S2507377,D69029,006902918,30.0,48.9,0,0,7/17/2025
CTIC - CREATIVE TICKING,S2507421,D69096,006909603,40.0,62.0,0,0,7/18/2025
CTIC - CREATIVE TICKING,S2507410,D69096,006909602,40.0,62.4,0,0,7/18/2025
CTIC - CREATIVE TICKING,S2507410,D69096,006909601,40.0,63.0,0,0,7/18/2025
CTIC - CREATIVE TICKING,S2507412,D67699,006769909,71.7,56.7,0,0,3/26/2025
CTIC - CREATIVE TICKING,S2507411,D68587,006858705,62.0,60.0,0,0,6/13/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760401,120.0,57.7,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775909,126.0,56.9,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775906,117.0,52.9,0,0,4/30/2025
