Status,CSR,Unit Price,Quoted Date,cFVersion,fBase,On Hold,Ordered,Picked/Shipped,Balance,Available,UOM,SOP,PO #,Sold To,Ship To,Ship Date
Open,Genita Harris,$10.76 (yds),8/8/2025,751SM0780,751SM0780/0,"<div id='holdButton_24447' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24447,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506107/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),8/22/2025,751SM0780,751SM0780/0,"<div id='holdButton_24448' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24448,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506107/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.11 (yds),8/18/2025,751SM0780,751SM0780/0,"<div id='holdButton_24181' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24181,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2502168/1,39109,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$10.76 (yds),8/1/2025,751SM0780,751SM0780/0,"<div id='holdButton_24446' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24446,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506107/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),7/25/2025,751SM0780,751SM0780/0,"<div id='holdButton_24445' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24445,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506107/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),7/11/2025,751SM0780,751SM0780/0,"<div id='holdButton_24420' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24420,0)'></i></div>","1,561",0.0,"1,561.0",0.0,yds,SP2506094/1,1007135-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.76 (yds),7/18/2025,751SM0780,751SM0780/0,"<div id='holdButton_24421' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24421,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506094/1,1007135-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.11 (yds),11/10/2025,751SM0780,751SM0780/0,"<div id='holdButton_25180' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25180,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2502168/1,39109,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$12.11 (yds),9/15/2025,751SM0780,751SM0780/0,"<div id='holdButton_24182' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24182,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2502168/1,39109,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$12.11 (yds),7/28/2025,751SM0780,751SM0780/0,"<div id='holdButton_24156' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24156,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2505131/1,39287-00,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$12.11 (yds),7/14/2025,751SM0780,751SM0780/0,"<div id='holdButton_24155' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24155,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2505131/1,39287-00,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$12.53 (yds),8/29/2025,721SM0627,721SM0627/ALTUS,"<div id='holdButton_25043' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25043,0)'></i></div>",546,0.0,546.0,0.0,yds,SP2411185/1,A5000133,COBO SPA DIV. MT.,COBO SPA DIV. MT.,
Open,Genita Harris,$12.53 (yds),8/8/2025,721SM0627,721SM0627/ALTUS,"<div id='holdButton_24461' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24461,0)'></i></div>",546,0.0,546.0,0.0,yds,SP2411185/1,A5000133,COBO SPA DIV. MT.,COBO SPA DIV. MT.,
Open,Genita Harris,$12.53 (yds),7/3/2025,721SM0627,721SM0627/ALTUS,"<div id='holdButton_22824' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(22824,0)'></i></div>",655,0.0,655.0,0.0,yds,SP2411185/1,A5000133,COBO SPA DIV. MT.,COBO SPA DIV. MT.,
Open,Genita Harris,$12.06 (yds),8/29/2025,641SM0693,641SM0693/ALTUS,"<div id='holdButton_24459' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24459,0)'></i></div>",300,0.0,300.0,0.0,yds,SP2506113/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.06 (yds),8/15/2025,641SM0693,641SM0693/ALTUS,"<div id='holdButton_24450' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24450,0)'></i></div>",300,0.0,300.0,0.0,yds,SP2506108/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.10 (yds),9/19/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_24544' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24544,0)'></i></div>",500,0.0,500.0,0.0,yds,SP2506147/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.10 (yds),9/5/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_24542' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24542,0)'></i></div>",500,0.0,500.0,0.0,yds,SP2506147/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.10 (yds),8/29/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_24541' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24541,0)'></i></div>",500,0.0,500.0,0.0,yds,SP2506147/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.10 (yds),9/12/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_24543' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24543,0)'></i></div>",500,0.0,500.0,0.0,yds,SP2506147/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.10 (yds),8/8/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_24443' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24443,0)'></i></div>",500,0.0,500.0,0.0,yds,SP2506105/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.10 (yds),8/22/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_24444' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24444,0)'></i></div>",500,0.0,500.0,0.0,yds,SP2506105/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
